,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
68,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.8,665.653796009442,0.2366809027838418,0.8768824403865324
69,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.9,665.633796009442,0.23670383720115562,0.8769987851445132
70,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,1.0,665.613796009442,0.23672677161846956,0.877115129902494
71,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.1,666.723108025098,0.23545470038354566,0.8706619980031589
72,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.2,666.0436877487882,0.23623380579096942,0.8746143473838849
73,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.3,665.8583444116284,0.23644634286300892,0.8756925336691458
74,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.4,665.7813360865675,0.2365346499161889,0.8761405094162311
75,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.5,665.7313360865676,0.23659198595947384,0.8764313713111832
76,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.6,665.6937960094419,0.2366350339492137,0.8766497508705707
77,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.7,665.673796009442,0.23665796836652775,0.8767660956285516
78,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.8,665.653796009442,0.2366809027838418,0.8768824403865324
79,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,0.9,665.633796009442,0.23670383720115562,0.8769987851445132
80,Greedy,2180.1295108333334,631.9959149069084,0.5,0.8,1.0,665.613796009442,0.23672677161846956,0.877115129902494
81,Greedy,2180.1295108333334,631.9959149069084,0.5,0.9,0.1,666.723108025098,0.23545470038354566,0.8706619980031589
82,Greedy,2180.1295108333334,631.9959149069084,0.5,0.9,0.2,666.0436877487882,0.23623380579096942,0.8746143473838849
83,Greedy,2180.1295108333334,631.9959149069084,0.5,0.9,0.3,665.8583444116284,0.23644634286300892,0.8756925336691458
84,Greedy,2180.1295108333334,631.9959149069084,0.5,0.9,0.4,665.7813360865675,0.2365346499161889,0.8761405094162311
85,Greedy,2180.1295108333334,631.9959149069084,0.5,0.9,0.5,665.7313360865676,0.23659198595947384,0.8764313713111832
86,Greedy,2180.1295108333334,631.9959149069084,0.5,0.9,0.6,665.6937960094419,0.2366350339492137,0.8766497508705707
